Gene,t_stat,p_value,mean_PD,mean_Influenza,FDR_BH,log2FC
SPIN4,12.914567878325672,1.6919416496124142e-10,144.79239427500002,60.57549040833332,1.2765547775518814e-08,1.2434873408412042
APOL3,16.678213482718125,1.7384125853516573e-10,719.7684408333332,132.87092441666667,1.3038094390137429e-08,2.4286931894364736
WAS,12.833621075389546,1.759447064824185e-10,4163.590763416667,1151.2191023333335,1.3117771015848954e-08,1.8537596538788979
TBXAS1,13.84169927168826,1.7944088560779323e-10,1162.6816722500002,281.3031878095238,1.3299736227401144e-08,2.0433791346092676
FOXO3,13.987050216858927,1.822792778812991e-10,897.6755880000001,240.13431669166667,1.343110468599046e-08,1.8979634320107115
FYB,24.91826329898957,1.879258472723991e-10,1793.870146916667,157.24688079166668,1.376666090483854e-08,3.503630505429319
CALM3,13.10988134805035,1.9905708610500308e-10,5439.948410083333,1490.5893689999998,1.4488652808510016e-08,1.8670077293895808
AUP1,15.687862059424148,2.0238118208712404e-10,459.8014580416667,193.83829441666666,1.4488652808510016e-08,1.2418680224565932
CDC14A,12.974793885061763,2.015658339746665e-10,180.55202458333332,83.245600125,1.4488652808510016e-08,1.1077097724061948
EIF4G2,13.132237744450997,2.0132387967886607e-10,4599.934106333334,2268.8676875,1.4488652808510016e-08,1.0193185905389708
UBE2J2,-14.262977765310966,2.042232924682578e-10,84.55863883333333,145.71359727380954,1.4492571338107453e-08,-0.7780171490619354
IL6ST,13.171277164869606,2.0588652932708208e-10,630.414529448718,209.3447879916667,1.4492571338107453e-08,1.5858313879499155
RASSF5,21.484235593476875,2.058332730038046e-10,3106.9981312500004,435.7889410416666,1.4492571338107453e-08,2.830977401724576
SLC27A3,13.838190724105132,2.296951733718516e-10,1007.2033190833336,318.9576276833334,1.6078662136029613e-08,1.6558338436396678
GLTSCR1L,14.620702447596766,2.3282235142440055e-10,745.9661112916667,309.70511124999996,1.6207522806339484e-08,1.2654968169458485
SEC13,-16.759419912397618,2.461363361882409e-10,197.2296396,477.0588813141027,1.704020788995514e-08,-1.2700156296518035
LRRC28,-16.15926906567101,2.495554021747452e-10,96.44257160833334,198.136171875,1.7182503100556227e-08,-1.0311311886000816
CLTB,12.544472731914228,2.612308079008985e-10,802.0381642500001,288.77852383333334,1.773901135658317e-08,1.47051787586393
MAP3K1,13.369019818004745,2.618615962162278e-10,3365.058734333333,1328.711044291667,1.773901135658317e-08,1.339947578614895
TBC1D31,12.505577132620209,2.6172698723312657e-10,316.1329852916666,110.791225825,1.773901135658317e-08,1.504280981677164
SULT1A1,12.980990432033177,2.665052165294244e-10,2387.7138295208338,719.4985602749999,1.7957035980057474e-08,1.7291665750602263
PIGY,12.521160059832603,2.7475882208340363e-10,2151.9077359166668,695.7029483333333,1.8414687011972797e-08,1.627670919647148
CCDC127,-12.476251440285864,2.777639084288728e-10,87.727756025,179.1312325083333,1.843482557523746e-08,-1.021590960759446
GANAB,-13.138631739723056,2.7798546502342203e-10,279.98251775,620.2925744583333,1.843482557523746e-08,-1.1447924404040855
DGCR6L,12.548321115802969,2.797798908215199e-10,325.1347185833333,157.77169737499997,1.8456683897126445e-08,1.0385142702287915
ITGAM,26.641049017169248,2.95075902744029e-10,1355.5741787499999,107.19550138333334,1.9364356117576903e-08,3.6482555174011884
LILRA6,25.49521912134227,3.07254542364331e-10,256.41290933333335,63.308667408333314,2.0059104838293114e-08,2.0009993073010355
USP3,13.436893648705263,3.13317097888617e-10,1280.6552789166667,476.3965051666667,2.034946099688956e-08,1.424748368739957
MTPN,14.647297774057948,3.187889490433832e-10,4723.327601000001,2053.7666335000004,2.0598670553572452e-08,1.201134457938375
SLC35A1,12.602968859713837,3.2741779670884693e-10,890.8085650833333,326.28906679166664,2.104828693128302e-08,1.4461686461666599
ATP5G2,18.34302584449442,3.453634612366864e-10,3143.8188487916664,610.4154801666667,2.1867234229056524e-08,2.362751931062286
IMP4,-15.066143262972528,3.436704183531422e-10,607.2896226666667,1338.3789108333333,2.1867234229056524e-08,-1.138733860049669
EXO5,15.53278731763819,3.4325115091836594e-10,1223.2000286666666,352.33895220833335,2.1867234229056524e-08,1.7927146007314416
C8ORF33,-12.693814776993008,3.583615691442044e-10,209.06267520833336,342.04704675,2.2464456573218782e-08,-0.7075866056875775
RBSN,14.666899078436828,3.57611935619815e-10,519.1118472083333,172.607496625,2.2464456573218782e-08,1.5829926534910292
PDP1,16.316277116895044,3.630371052577539e-10,288.31233533333335,89.58963834999999,2.2644888743800492e-08,1.67520988713704
SULT1A2,12.245272776966683,3.7145601509926897e-10,147.29829325,74.22495142857143,2.3055890592368418e-08,0.9792188189086151
RPL36,13.662529544694317,3.767546583265588e-10,5463.59609025,1788.4888383333334,2.3270140661346283e-08,1.6105673193939936
PRKCA,13.60107975067349,3.981062755563084e-10,433.794565125,144.98675474166666,2.44689710829731e-08,1.5744964264722752
WBSCR22,-13.745746169578583,4.120880233402818e-10,237.0554567916667,488.9938495000001,2.5205383951881315e-08,-1.0414659411061375
CBL,12.284433129794424,4.155518810202849e-10,468.78648166666665,250.24000695833328,2.5294462322973864e-08,0.9029389852919767
PEMT,12.313467360676727,4.403757229851938e-10,184.63557900000004,96.030759625,2.6676606296218468e-08,0.935959172312967
MRPS18B,-14.013240524549053,4.541162647254105e-10,382.33177604166667,792.7105915000001,2.724697588352463e-08,-1.0500194629682387
PARVG,12.395864792928354,4.52323610871984e-10,1378.2260570416668,349.8250343942308,2.724697588352463e-08,1.9750353306152846
LAMTOR4,13.765073841242513,4.700244721244526e-10,1415.9969914166668,457.5165740833333,2.8067812079469683e-08,1.6277909058737166
NUBP1,-14.97489006730276,4.780307630621106e-10,163.39155043333332,481.93699775000005,2.841126233293676e-08,-1.5546988446562615
STK26,12.184646002688053,4.807842636796363e-10,1273.8898737958336,575.2610714333334,2.8440759259922144e-08,1.1455781623484498
CHCHD7,12.172013022278925,5.352571923354446e-10,359.23863079166665,197.22879426666665,3.1515143100124314e-08,0.8617863589866763
CNOT1,11.961573958693352,5.39234561944648e-10,958.6403055833332,579.4586902916667,3.160165339768635e-08,0.72530035517633
PPP1R16A,-14.008239127167498,5.478612058873117e-10,72.67461135416667,196.68300429166666,3.1958570343426514e-08,-1.423949391308942
RNF44,12.18050722058769,5.573803642719968e-10,442.8158078333334,153.19541378333332,3.2364021151277233e-08,1.5252011983917493
TOMM40,-14.954466381514964,5.605609528148482e-10,417.48387412499994,1097.7760679999997,3.239939452049123e-08,-1.3926534570189926
TP53INP1,11.928580257025818,5.658608564016561e-10,745.6089492499999,242.14840416666667,3.255637803954734e-08,1.6185156787495716
RPL15,12.985109765252652,5.684550663652473e-10,5604.707905833334,1835.4751834166668,3.255697198273689e-08,1.6099571716181362
RAB37,24.453904826787216,5.927939164705166e-10,320.72371973333327,66.67423600833334,3.353483843010908e-08,2.249143704834446
TMEM5,-12.98181294833146,5.935134103106608e-10,301.97175425,606.4570291666666,3.353483843010908e-08,-1.0035990587192405
PTPN22,14.084749762334463,5.920021531961074e-10,403.4311553333333,87.769271175,3.353483843010908e-08,2.1877618820484255
ARNTL,12.393381043236197,6.043249580050506e-10,247.77396574999997,101.81111295119048,3.3993278887784094e-08,1.2748392997735198
